ModelName,WJ314
FileVersion,1
Acquisition Time,2016/06/27 13:54:51
Time/div(second),100E-06
Delay(second),0.0000E+00
Delta(second),1E-06
Acquisition Mode,Normal
Trigger Address,500
CH1 Display,On
CH2 Display,On
CH3 Display,Off
CH4 Display,Off
CH1 Volt/div,500E-03
CH2 Volt/div,500E-03
CH3 Volt/div,100E-03
CH4 Volt/div,100E-03
CH1 Offset,-1.50E+00
CH2 Offset,-1.50E+00
CH3 Offset,-52.0E-03
CH4 Offset,-152E-03
CH1 Coupling,DC1M
CH2 Coupling,DC1M
CH3 Coupling,DC1M
CH4 Coupling,DC1M
CH1 Bandwidth,Full
CH2 Bandwidth,Full
CH3 Bandwidth,Full
CH4 Bandwidth,Full
Points,1001
Ch1 V,Ch2 V,Ch3 V,Ch4 V
1.81E+00,7.81E-02,,
1.90E+00,-1.56E-02,,
1.98E+00,-1.56E-02,,
2.07E+00,-1.56E-02,,
2.17E+00,-1.56E-02,,
2.23E+00,-1.56E-02,,
2.32E+00,-1.56E-02,,
2.40E+00,0.00E+00,,
2.48E+00,-1.56E-02,,
2.54E+00,-1.56E-02,,
2.60E+00,-1.56E-02,,
2.67E+00,-1.56E-02,,
2.71E+00,0.00E+00,,
2.78E+00,-1.56E-02,,
2.82E+00,0.00E+00,,
2.85E+00,-1.56E-02,,
2.90E+00,0.00E+00,,
2.93E+00,0.00E+00,,
2.95E+00,0.00E+00,,
2.98E+00,-1.56E-02,,
2.98E+00,-1.56E-02,,
3.00E+00,0.00E+00,,
3.00E+00,0.00E+00,,
3.00E+00,0.00E+00,,
2.98E+00,-1.56E-02,,
2.96E+00,-1.56E-02,,
2.93E+00,0.00E+00,,
2.92E+00,0.00E+00,,
2.89E+00,-1.56E-02,,
2.84E+00,0.00E+00,,
2.79E+00,0.00E+00,,
2.75E+00,0.00E+00,,
2.68E+00,0.00E+00,,
2.64E+00,0.00E+00,,
2.57E+00,0.00E+00,,
2.50E+00,0.00E+00,,
2.43E+00,0.00E+00,,
2.35E+00,0.00E+00,,
2.28E+00,-1.56E-02,,
2.18E+00,0.00E+00,,
2.10E+00,0.00E+00,,
2.01E+00,-1.56E-02,,
1.93E+00,0.00E+00,,
1.84E+00,-1.56E-02,,
1.75E+00,0.00E+00,,
1.65E+00,0.00E+00,,
1.54E+00,0.00E+00,,
1.46E+00,3.35E+00,,
1.39E+00,3.04E+00,,
1.28E+00,3.03E+00,,
1.18E+00,3.03E+00,,
1.10E+00,3.03E+00,,
1.01E+00,3.01E+00,,
9.21E-01,3.01E+00,,
8.43E-01,3.03E+00,,
7.65E-01,3.03E+00,,
6.71E-01,3.01E+00,,
5.93E-01,3.01E+00,,
5.15E-01,3.03E+00,,
4.53E-01,3.01E+00,,
3.90E-01,3.01E+00,,
3.43E-01,3.01E+00,,
2.65E-01,3.01E+00,,
2.18E-01,3.03E+00,,
1.71E-01,3.01E+00,,
1.40E-01,3.03E+00,,
9.37E-02,3.01E+00,,
7.81E-02,3.01E+00,,
4.68E-02,3.01E+00,,
3.12E-02,3.01E+00,,
1.56E-02,3.01E+00,,
1.56E-02,3.03E+00,,
1.56E-02,3.01E+00,,
1.56E-02,3.01E+00,,
1.56E-02,3.01E+00,,
3.12E-02,3.01E+00,,
6.25E-02,3.01E+00,,
9.37E-02,3.01E+00,,
1.25E-01,3.01E+00,,
1.56E-01,3.01E+00,,
2.18E-01,3.01E+00,,
2.50E-01,3.01E+00,,
2.96E-01,3.01E+00,,
3.75E-01,3.01E+00,,
4.21E-01,3.01E+00,,
5.00E-01,3.01E+00,,
5.62E-01,3.01E+00,,
6.56E-01,3.01E+00,,
7.18E-01,3.01E+00,,
7.96E-01,3.01E+00,,
8.90E-01,3.01E+00,,
9.84E-01,3.01E+00,,
1.06E+00,3.01E+00,,
1.15E+00,3.01E+00,,
1.25E+00,3.01E+00,,
1.34E+00,3.01E+00,,
1.43E+00,3.01E+00,,
1.50E+00,3.21E+00,,
1.60E+00,1.25E-01,,
1.64E+00,2.76E+00,,
1.79E+00,4.68E-02,,
1.90E+00,-1.56E-02,,
1.98E+00,-1.56E-02,,
2.07E+00,-1.56E-02,,
2.15E+00,-1.56E-02,,
2.23E+00,-1.56E-02,,
2.32E+00,-1.56E-02,,
2.40E+00,-1.56E-02,,
2.48E+00,-1.56E-02,,
2.54E+00,-1.56E-02,,
2.60E+00,0.00E+00,,
2.67E+00,-1.56E-02,,
2.73E+00,0.00E+00,,
2.78E+00,-1.56E-02,,
2.82E+00,-1.56E-02,,
2.87E+00,-1.56E-02,,
2.90E+00,-1.56E-02,,
2.92E+00,-1.56E-02,,
2.95E+00,-1.56E-02,,
2.96E+00,0.00E+00,,
3.00E+00,0.00E+00,,
2.98E+00,-1.56E-02,,
3.00E+00,0.00E+00,,
2.98E+00,0.00E+00,,
2.98E+00,-1.56E-02,,
2.96E+00,0.00E+00,,
2.93E+00,0.00E+00,,
2.92E+00,0.00E+00,,
2.87E+00,0.00E+00,,
2.84E+00,-1.56E-02,,
2.79E+00,0.00E+00,,
2.75E+00,0.00E+00,,
2.68E+00,0.00E+00,,
2.64E+00,-1.56E-02,,
2.56E+00,0.00E+00,,
2.51E+00,0.00E+00,,
2.43E+00,0.00E+00,,
2.35E+00,0.00E+00,,
2.28E+00,0.00E+00,,
2.18E+00,-1.56E-02,,
2.10E+00,0.00E+00,,
2.01E+00,0.00E+00,,
1.92E+00,0.00E+00,,
1.84E+00,0.00E+00,,
1.75E+00,0.00E+00,,
1.65E+00,0.00E+00,,
1.56E+00,-1.56E-02,,
1.46E+00,3.35E+00,,
1.37E+00,3.03E+00,,
1.28E+00,3.01E+00,,
1.20E+00,3.01E+00,,
1.10E+00,3.03E+00,,
1.01E+00,3.01E+00,,
9.21E-01,3.01E+00,,
8.43E-01,3.01E+00,,
7.50E-01,3.03E+00,,
6.71E-01,3.01E+00,,
5.93E-01,3.01E+00,,
5.31E-01,3.03E+00,,
4.53E-01,3.01E+00,,
3.90E-01,3.03E+00,,
3.28E-01,3.03E+00,,
2.65E-01,3.01E+00,,
2.18E-01,3.01E+00,,
1.71E-01,3.03E+00,,
1.40E-01,3.01E+00,,
1.09E-01,3.01E+00,,
7.81E-02,3.01E+00,,
4.68E-02,3.01E+00,,
3.12E-02,3.01E+00,,
1.56E-02,3.01E+00,,
1.56E-02,3.03E+00,,
1.56E-02,3.01E+00,,
1.56E-02,3.01E+00,,
3.12E-02,3.01E+00,,
4.68E-02,3.01E+00,,
6.25E-02,3.01E+00,,
9.37E-02,3.01E+00,,
1.25E-01,3.01E+00,,
1.56E-01,3.01E+00,,
2.03E-01,3.01E+00,,
2.65E-01,3.01E+00,,
3.12E-01,3.01E+00,,
3.59E-01,3.01E+00,,
4.21E-01,3.01E+00,,
4.84E-01,3.01E+00,,
5.78E-01,3.01E+00,,
6.56E-01,3.01E+00,,
